-0.229, 0.021
-0.175, 0.054
-0.156, 0.021
-0.189, 0.005
-0.200, 0.043
-0.142, 0.021
-0.175, 0.043
-0.171, 0.032
-0.156, 0.054
-0.186, 0.037
-0.182, 0.027
-0.167, 0.048
-0.171, 0.027
-0.189, 0.043
-0.211, 0.021
-0.171, 0.054
-0.160, 0.075
-0.171, 0.037
-0.135, 0.048
-0.200, 0.032
-0.222, 0.048
-0.226, 0.005
-0.138, 0.021
-0.171, 0.048
-0.160, 0.027
-0.171, 0.064
-0.146, -0.016
-0.247, 0.043
-0.186, 0.048
-0.156, 0.032
-0.193, 0.043
-0.211, 0.027
-0.207, 0.011
-0.160, 0.107
-0.226, 0.059
-0.182, 0.048
-0.240, 0.080
-0.233, 0.011
-0.186, 0.021
-0.284, 0.054
-0.229, 0.027
-0.244, 0.064
-0.175, 0.032
-0.211, 0.016
-0.204, 0.070
-0.073, 0.021
-0.251, 0.054
-0.189, 0.043
-0.211, 0.048
-0.182, 0.070
-0.193, 0.043
-0.131, 0.070
-0.251, 0.070
-0.167, 0.005
-0.153, 0.037
-0.218, 0.054
-0.244, 0.027
-0.146, 0.086
-0.207, 0.027
-0.131, 0.080
-0.175, 0.048
-0.196, 0.032
-0.175, 0.043
-0.149, 0.005
-0.193, -0.011
-0.164, 0.070
-0.175, 0.000
-0.153, 0.005
-0.182, 0.054